Question,Réponse
L'UIR est-elle reconnue par l'État marocain ?,"Oui, l’Université Internationale de Rabat (UIR) est reconnue par l’État marocain depuis 2015, avec un renouvellement en 2020. Cette reconnaissance garantit que ses diplômes sont équivalents à ceux délivrés par les universités publiques marocaines."
Les diplômes de l'UIR sont-ils équivalents aux diplômes nationaux ?,"Oui. Les diplômes de l’UIR sont équivalents aux diplômes nationaux, car l’université est reconnue par l’État marocain depuis 2015, avec un renouvellement en 2020."
Quel est le statut juridique de l'UIR ?,"L’Université Internationale de Rabat (UIR) est une université privée à but non lucratif, créée dans le cadre d’un partenariat public-privé avec l’État marocain."
Rabat Business School est-elle accréditée par l'AACSB ?,"Oui. Rabat Business School est accréditée AACSB, un label d’excellence détenu par moins de 5 % des business schools dans le monde."
L'UIR dispose-t-elle du label EUR-ACE pour ses formations en ingénierie ?,"Oui. Les écoles d’ingénieurs de l’UIR sont labellisées EUR-ACE et accréditées par la CTI, ce qui garantit la qualité européenne des formations en ingénierie."
Quels sont les partenaires académiques internationaux de l'UIR ?,"L’UIR compte 262 partenariats académiques dans 57 pays. Ces accords permettent des échanges, doubles diplômes, programmes conjoints et mobilité étudiante, notamment en Europe, Amérique et Asie."
L'UIR propose-t-elle des doubles diplômes ?,"Oui. L’UIR propose plusieurs doubles diplômes en partenariat avec des universités internationales, notamment en Europe, en Amérique du Nord et en Asie. Ces accords concernent plusieurs collèges, dont Rabat Business School et les écoles d’ingénieurs."
Où est situé le campus de l'UIR ?,"Le campus de l’UIR est situé à Technopolis – Rocade de Rabat-Salé, à Sala Al Jadida, à quelques minutes de Rabat."
Quelle est la superficie du campus de l'UIR ?,Le campus de l’UIR s’étend sur 30 hectares.
Quelles infrastructures sont disponibles sur le campus ?,"Le campus de l’UIR dispose de : 🏡 résidences, 📚 bibliothèque, 🍽️ restauration, 🏊‍♂️ piscine, ⚽ terrains de sport, 🧪 laboratoires, 💡 Tech Center, 🏥 hôpital universitaire, 🌱 campus HQE."
